Ac/Dc , Highway To Hell 
Ac/Dc , You Shook Me All Night Long 
Andy Grammer , Honey I'm Good 
Bad Company,All Right Now 
Badfinger , No Matter What 
Beatles , Birthday 
Beatles , Please Please Me 
Big And Rich , Save A Horse 
Billy Idol , Rebel Yell 
Bon Jovi , Dead Or Alive 
Bon Jovi , You Give Love A Bad Name 
Booker T , Green Onions 
Bryan Adams , Summer Of 69 
Bto,Takin? Care Of Business 
Cheap Trick , I Want You To Want Me   
Colin James , Keep On Loving Me 
Colin James , Voodoo Thing 
Darius Rucker , Wagon Wheel 
Finger Eleven , Paralyzer 
Florida Georgia Line , Cruise 
Foot In Cold Water , Make Me Do 
Fournier , Double Vision 
Fournier , Hot Blooded 
Golden Earring , Radar Love 
Green Day , Holiday 
Guns And Roses , Sweet Child Of Mine 
Jimmy Eat World , The Middle 
Joan Jett , I Love Rock And Roll 
John Mellancamp , Pink Houses 
Journey , Any Way You Want It 
Journey , Don't Stop Believing 
Journey , Separate Ways 
Kid Rock , All Summer Long 
Kings Of Leon , Sex On Fire 
Kiss , God Gave Rock And Roll To You 
Kiss , I Was Made For Loving You 
Kiss , Rock And Roll All Night 
Kiss , Shout It Out Loud 
Lady Gaga ,  Just Dance 
Lady Gaga , Born This Way 
Loverboy , Turn Me Loose 
Loverboy , Working For The Weekend 
Maroon 5 , Moves Like Jagger 
Michael Jackson , Billie Jean 
Motley Crue , Smokin In The Boys Room 
Nathaniel Ratcliff , S.O.B 
Neil Diamond , Sweet Caroline 
Ozzy Osbourne , Crazy Train 
Pet Shop Boys , Relax 
Poison , Every Rose Has A Thorn 
Queen , Another One Bites The Dust 
Queen , Tie Your Mother Down 
Queen , Under Pressure 
Queen , We Will Rock You 
Sam And Dave , Soul Man  
Sam Hunt , House Party 
Santana , Black Magic Woman 
Sly And The Family Stone , Thank You 
The Black Crowes,Hard To Handle 
The Black Eyed Peas , I Got A Feeling 
The Black Keys , Howlin For You 
The Black Keys , Lonely Boy 
The Commodores , Brick House 
The Doobie Brothers , Long Train Running 
The Killers , All These Things 
The Ohio Players , Fire 
The Rolling Stone,Miss You 
The Rolling Stones , Brown Sugar 
The Tramps , Disco Inferno 
Tommy James , Mony Mony 
Toto , Hold The Line 
Tragically Hip , Blow At High Dough 
Tragically Hip , New Orleans Is Sinking 
Van Halen , You Really Got Me 
Whitesnake , Here I Go 
Wild Cherry , Play That Funky Music 
Wilson Pickett , Midnight Hour 
Zac Brown Band , Chicken Fried 
Wilson Pickett ,Midnight Hour 
Zac Brown Band,Chicken Fried 
